# Apogee (Up to date)
# 761 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,3399.158,1101,1.293,0.004,9.792,NaN,83.411,NaN,0,0,0,0.727,0.528,0.079,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.037,90,15,1013.25,0.001,340.389,0.009,3.39e5,8.7,59.447,0.01,8.85e-4,0
0.01,7.649e-5,7.649e-5,0.039,0.039,14.386,14.386,-2.419e-6,0,2.419e-6,270,6.051e-4,0.073,28.61,-80.6,89.26,0,0,0,90,0,3397.973,1099.815,1.292,0.004,9.792,NaN,83.387,NaN,82.156,2.469,1.314e-7,0.726,0.527,0.079,0.12,3.897e-6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.043,90,15,1013.25,0.001,340.389,0.009,3.397e5,8.7,59.447,0.01,0.001,5.029e-6
0.02,0.002,0.002,0.304,0.304,38.581,38.581,-1.212e-5,0,1.212e-5,270,0.001,0.074,28.61,-80.6,84.303,0,0,0,90,0,3396.788,1098.63,1.291,0.004,9.792,NaN,83.363,NaN,164.313,4.94,5.769e-5,0.726,0.527,0.079,0.12,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.05,90,15,1013.25,0.001,340.389,0.009,3.42e5,8.7,59.447,0.011,0.001,3.894e-5
0.031,0.008,0.008,0.875,0.875,65.214,65.214,-3.135e-5,0,3.135e-5,270,0.002,0.079,28.61,-80.6,74.016,0,0,0,90,0,3395.485,1097.326,1.291,0.004,9.792,NaN,83.337,NaN,254.685,7.66,0.001,0.721,0.522,0.079,0.12,0.033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.057,90,15,1013.249,0.001,340.389,0.009,3.547e5,8.7,59.447,0.01,0.002,1.12e-4
0.041,0.02,0.02,1.529,1.529,65.613,65.613,-5.713e-5,0,5.713e-5,270,0.003,0.09,28.61,-80.6,63.45,0,0,0,90,0,3392.821,1094.663,1.29,0.004,9.792,NaN,83.283,NaN,255.842,7.701,0.006,0.713,0.514,0.079,0.12,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.063,90,15,1013.248,0.001,340.389,0.01,3.819e5,8.7,59.447,0.01,0.002,1.958e-4
# Event LIFTOFF occurred at t=0.051 seconds
0.051,0.038,0.038,2.187,2.187,66.011,66.011,-9.194e-5,0,9.194e-5,270,0.004,0,28.61,-80.6,54.489,0,0,0,90,0,3390.158,1092,1.288,0.004,9.792,NaN,83.229,NaN,256.998,7.742,0.014,0.702,0.503,0.079,0.12,0.267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.069,90,15,1013.245,0.001,340.389,0.011,4.204e5,8.7,59.447,0.01,0.002,2.8e-4
0.061,0.064,0.064,2.849,2.849,66.408,66.408,-1.318e-4,0,1.318e-4,270,0.004,0,28.61,-80.6,47.103,0,0,0,90,0,3387.494,1089.336,1.287,0.004,9.792,NaN,83.174,NaN,258.155,7.783,0.026,0.691,0.492,0.079,0.12,0.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.071,90,15,1013.243,0.001,340.389,0.012,4.673e5,8.7,59.447,0.01,0.002,3.648e-4
0.071,0.095,0.095,3.515,3.515,66.805,66.805,-1.716e-4,0,1.716e-4,270,0.004,0,28.61,-80.6,41.113,0,0,0,90,0,3384.831,1086.673,1.286,0.004,9.792,NaN,83.12,NaN,259.311,7.824,0.042,0.68,0.481,0.079,0.12,0.528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.072,90,14.999,1013.239,0.001,340.389,0.014,5.209e5,8.7,59.447,0.01,0.002,4.501e-4
0.081,0.134,0.134,4.185,4.185,67.202,67.202,-2.114e-4,0,2.114e-4,270,0.004,0,28.61,-80.6,36.256,0,0,0,90,0,3382.168,1084.009,1.284,0.004,9.792,NaN,83.066,NaN,260.468,7.865,0.061,0.669,0.47,0.079,0.12,0.622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.073,90,14.999,1013.234,0.001,340.388,0.015,5.794e5,8.7,59.447,0.01,0.002,5.359e-4
0.091,0.179,0.179,4.859,4.859,67.598,67.598,-2.513e-4,0,2.513e-4,270,0.004,0,28.61,-80.6,32.291,0,0,0,90,0,3379.504,1081.346,1.283,0.004,9.792,NaN,83.011,NaN,261.624,7.906,0.083,0.659,0.46,0.079,0.12,0.689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.075,90,14.999,1013.229,0.001,340.388,0.017,6.417e5,8.7,59.447,0.01,0.002,6.222e-4
