# 1.6S (Up to date)
# 748 data points written for 19 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Acceleration to the East (m/s²),Acceleration to the North (m/s²),X body acceleration (m/s²),Y body acceleration (m/s²),Z body acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral direction (°),Lateral velocity (m/s),Roll rate (Z) (°/s),Pitch rate (Y) (°/s),Yaw rate (X) (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0
0.01,4.366e-4,0.147,0.147,36,-0.048,-2.831e-8,-0.048,-2.831e-8,36,-1.624e-6,0,270,4.054e-4,0,0,0,90,0
0.02,0.004,0.736,0.736,81.841,-0.052,-6.286e-8,-0.052,-6.286e-8,81.841,-8.122e-6,0,270,9.003e-4,0,0,0,90,0
0.026,0.011,1.31,1.31,109.367,-0.062,-8.645e-8,-0.062,-8.645e-8,109.367,-1.451e-5,0,270,0.001,0,0,0,90,0
# Event LIFTOFF occurred at t=0.035 seconds
0.035,0.027,2.297,2.297,109.999,0,0,0,0,109.999,-2.851e-5,0,270,0.002,0,0,0,90,0
0.045,0.055,3.401,3.401,110.699,0,0,0,0,110.699,-4.957e-5,0,270,0.002,0,0,0,90,0
0.055,0.095,4.511,4.511,111.398,0,0,0,0,111.398,-7.063e-5,0,270,0.002,0,0,0,90,0
0.065,0.145,5.629,5.629,112.096,0,0,0,0,112.096,-9.17e-5,0,270,0.002,0,0,0,90,0
0.075,0.207,6.753,6.753,112.795,0,0,0,0,112.795,-1.128e-4,0,270,0.002,0,0,0,90,0
0.085,0.281,7.885,7.885,113.494,0,0,0,0,113.494,-1.338e-4,0,270,0.002,0,0,0,90,0
0.095,0.365,9.023,9.023,114.193,0,0,0,0,114.193,-1.549e-4,0,270,0.002,0,0,0,90,0
0.105,0.461,10.168,10.168,114.892,0,0,0,0,114.892,-1.759e-4,0,270,0.002,0,0,0,90,0
0.115,0.567,11.302,11.302,115.581,0,0,0,0,115.581,-1.967e-4,0,270,0.002,0,0,0,90,0
0.124,0.671,12.327,12.327,116.198,0,0,0,0,116.198,-2.153e-4,0,270,0.002,0,0,0,90,0
0.132,0.775,13.272,13.272,116.764,0,0,0,0,116.764,-2.324e-4,0,270,0.002,0,0,0,90,0
0.139,0.878,14.154,14.154,117.289,0,0,0,0,117.289,-2.482e-4,0,270,0.002,0,0,0,90,0
0.146,0.981,14.984,14.984,117.781,0,0,0,0,117.781,-2.631e-4,0,270,0.002,0,0,0,90,0
# Event LAUNCHROD occurred at t=0.153 seconds
0.153,1.084,15.772,15.772,118.245,-0.907,-1.462e-7,-0.907,-1.462e-7,118.245,-2.772e-4,0,270,0.002,0,0,0,90,0
0.163,1.248,16.959,16.959,118.941,-0.965,-6.787e-7,-0.969,-7.831e-7,118.941,-3.447e-4,0,270,0.011,0,0.434,-2.567e-6,89.998,89.999
0.178,1.516,18.753,18.753,119.983,-1.031,-1.146e-6,-1.06,-1.745e-6,119.983,-6.286e-4,0,270,0.026,0,1.151,-3.11e-5,89.986,89.999
0.201,1.969,21.473,21.473,121.542,-1.075,-2.146e-7,-1.188,-2.986e-6,121.541,-0.001,0,270,0.05,0,2.376,-5.255e-5,89.947,89.999
0.234,2.764,25.619,25.619,123.875,-0.909,7.207e-6,-1.274,-3.561e-6,123.872,-0.004,0,270,0.085,0,4.482,-1.544e-4,89.832,89.998
0.284,4.201,31.898,31.898,127.301,-0.233,7.323e-6,-1.296,-5.263e-6,127.294,-0.009,7.588e-9,270,0.115,-3.482e-7,7.98,-2.902e-6,89.522,89.999
0.334,5.957,38.348,38.348,130.679,1.119,4.563e-5,-1.09,5.799e-6,130.679,-0.015,5.027e-8,270,0.096,-5.285e-7,11.597,-6.964e-4,89.031,89.999
0.384,8.039,44.965,44.965,133.981,3.181,1.079e-4,-0.628,2.945e-5,134.017,-0.017,2.041e-7,270.001,0.008,-5.368e-7,14.652,-6.29e-4,88.371,89.999
0.434,10.456,51.744,51.745,137.168,5.986,-1.42e-5,0.211,-1.958e-6,137.298,-0.012,6.074e-7,270.003,0.234,-5.824e-7,16.289,0.002,87.589,90
0.484,13.216,58.679,58.682,140.213,9.204,-1.056e-4,1.331,-2.358e-5,140.509,0.009,1.063e-6,89.993,0.614,-5.231e-7,-15.306,-4.622e-4,86.787,90.001
0.534,16.326,65.763,65.773,143.129,12.386,-8.693e-4,2.663,-3.394e-4,143.639,0.052,1.062e-6,89.999,1.154,0,-10.912,-0.002,86.116,90.003
