Time(s),Thrust(N),Propellant Mass(G1;g),Propellant Mass(G2;g),Mass Flow(G1;kg/s),Mass Flow(G2;kg/s)
0,0,230.6201,226.48941,0,0
0.03,251.34806,230.6201,226.48941,0.0,0.0
0.06,254.89291,226.55098,223.29401,0.13564,0.24215
0.09,258.31167,222.51619,220.04585,0.13449,0.24277
0.12,262.07189,218.44753,216.74681,0.13562,0.24559
0.15,265.72672,214.35952,213.39762,0.13627,0.24791
0.18,269.33312,210.22106,209.99908,0.13795,0.25123
0.21,273.05781,206.04153,206.55189,0.13932,0.25422
0.24,276.73497,201.79193,203.05679,0.14165,0.25816
0.27,280.45365,197.51806,199.51453,0.14246,0.26054
0.3,284.07994,193.18464,195.92585,0.14445,0.26407
0.33,287.73559,188.79113,192.29148,0.14645,0.2676
0.36,291.38607,184.36649,188.61213,0.14749,0.27013
0.39,295.04511,179.87668,184.88855,0.14966,0.27378
0.42,298.59661,175.32818,181.12146,0.15162,0.27719
0.45,302.18865,170.75639,177.31159,0.15239,0.27939
0.48,305.777,166.10932,173.45966,0.1549,0.2833
0.51,309.37041,161.39392,169.5664,0.15718,0.28696
0.54,312.87262,156.64341,165.63253,0.15835,0.28948
0.57,317.8535,151.83086,161.65878,0.16042,0.29288
0.6,325.42986,146.98393,157.64586,0.16156,0.29533
0.63,333.04644,142.05275,153.57651,0.16437,0.30002
0.66,340.92418,136.99194,149.42049,0.16869,0.30723
0.69,348.86376,131.83751,145.17743,0.17181,0.31325
0.72,356.86232,126.55964,140.84562,0.17593,0.32032
0.75,365.12688,121.15547,136.42464,0.18014,0.32751
0.78,373.49562,115.62811,131.91412,0.18425,0.3346
0.81,382.00094,109.98277,127.31243,0.18818,0.34157
0.84,390.58123,104.19582,122.61901,0.1929,0.34935
0.87,399.20074,98.29225,117.83312,0.19679,0.35632
0.9,408.07834,92.24186,112.95447,0.20168,0.3643
0.93,417.10558,86.06391,107.98302,0.20593,0.37165
0.96,426.11803,79.73249,102.91744,0.21105,0.3799
0.99,435.33494,73.26802,97.75712,0.21548,0.38749
1.02,444.67172,66.67278,92.50251,0.21984,0.395
1.05,453.99801,59.89872,87.15277,0.2258,0.40413
1.08,463.48718,52.99425,81.70765,0.23015,0.41165
1.11,473.07532,45.93507,76.16775,0.23531,0.41997
1.14,482.89168,38.71338,70.53268,0.24072,0.42856
1.17,344.60785,31.33427,64.80248,0.24597,0.43698
1.2,302.95852,24.09438,58.97651,0.24133,0.43553
1.23,284.14808,19.26182,54.02323,0.16109,0.32619
1.26,267.49863,15.38028,49.25823,0.12938,0.28822
1.29,252.64451,12.04288,44.4674,0.11125,0.27094
1.32,238.3287,9.18204,39.65166,0.09536,0.25589
1.35,225.0035,6.74212,34.81191,0.08133,0.24266
1.38,212.3284,4.70177,29.94875,0.06801,0.23012
1.41,199.66617,3.04381,25.06292,0.05527,0.21813
1.44,187.26946,1.7529,20.1551,0.04303,0.20662
1.47,175.06641,0.82022,15.22575,0.03109,0.1954
1.5,167.13312,0.23926,10.27542,0.01937,0.18438
1.53,0.0,0.00666,5.30461,0.00775,0.17345
