# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,0,0,0,0,0,0,0,0,0,0,0,28.610000000000003,-80.6,85,0,0,0,85,90,107.15913050521777,58.99999999999999,0.001442442751176,1.359674630044747e-5,9.792177302472455,NaN,29.773197418573353,NaN,0,0,1.294640239846328e-6,0.900951485408985,0.706317887876996,0.074630214370145,0.120003383161844,0.001428048967432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.736461266060822,90,15,1013.25,0.001224999463349,340.3889,0.005101403911998,4.993777401169738e4,2.5,4.908738521234052,0.002,0.0040205,0
0.002,4.280381793779451e-5,4.280381793779451e-5,0.06747108735964,0.067859439229657,74.00180700817221,74.3591918270276,4.822334999190772e-6,0,4.822334999190772e-6,90,0.007249542266339,7.281618549053794,28.610000000000003,-80.59999999995053,82.80560961038191,0,0,0,85,90,107.13853391585046,58.97940341063269,0.001442316891626,1.359526325358225e-5,9.792177302340876,NaN,29.771750446542356,NaN,9.0114,8.589488450138745,3.863951631810836e-6,0.897889717614344,0.703403641923345,0.074482591853984,0.120003483837016,0.004138954253614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.753566675784545,90,14.999999721775168,1013.2499949798295,0.001224999458462,340.38889983139575,0.005176750551653,5.06753440154614e4,2.5,4.908738521234052,0.002,0.0065953,0
0.004,3.816255895293617e-4,3.816255895293617e-4,0.29929134416296,0.300706880995236,157.82378680094922,158.49875677573183,3.877153143690617e-5,0,3.877153143690617e-5,90,0.029143088151599,14.611920450821144,28.610000000000003,-80.5999999996023,75.55867475740229,0,0,0,85,90,107.11793732648314,58.95880682126538,0.001442190987195,1.35937802066815e-5,9.792177301299343,NaN,29.770302918065084,NaN,18.0228,17.182280068146124,3.056436931230933e-5,0.890698310144383,0.696556183414438,0.074138391695366,0.12000373503458,0.030537789912898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.770672085508268,90,14.999997519433691,1013.2499552417138,0.001224999419782,340.38889849677685,0.005360133881513,5.247048659413777e4,2.5,4.908738521234052,0.002,0.0074592,0
0.006,0.001351753056894,0.001351753056894,0.698787315023818,0.701868692667155,241.6773622623212,242.67121588437098,1.311677568023587e-4,0,1.311677568023587e-4,90,0.065695891105184,21.94018205771681,28.610000000000003,-80.59999999865457,64.34280333036763,0,0,0,85,90,107.09734073711586,58.938210231898076,0.001442065037856,1.359229715974517e-5,9.792177298317187,NaN,29.768854832820484,NaN,27.034200000000002,25.778376764892307,1.714456540557469e-4,0.874144427333455,0.680780411197333,0.073359613784141,0.120004402351981,0.145331099183502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.787777495231991,90,14.999991213605142,1013.2498414620195,0.001224999309033,340.3888946754447,0.005819299443359,5.696526513206941e4,2.5,4.908738521234052,0.002,0.0083659,0
0.008,0.003288600067178,0.003288600067178,1.26602098143738,1.271406512392451,325.56122078505615,326.87357295525464,3.113223496240491e-4,0,3.113223496240491e-4,90,0.116899077473989,29.261309223582163,28.610000000000003,-80.59999999680664,51.62412657185331,0,0,0,85,90,107.07674414774853,58.91761364253077,0.001441939043585,1.359081411277326e-5,9.79217729236335,NaN,29.767406190487282,NaN,36.0456,34.37778045633749,6.159970337653557e-4,0.845402847908585,0.653344281883799,0.072052623854374,0.120005942170412,0.386856997270072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.804882904955714,90,14.999978624099583,1013.2496143023235,0.001224999087922,340.38888704620433,0.006760843376861,6.618205068217429e4,2.5,4.908738521234052,0.002,0.0092353,0
0.01,0.006527701556234,0.006527701556234,2.001056826694478,2.009377206556082,409.4901763661275,411.10329525583484,6.085175871518342e-4,0,6.085175871518342e-4,90,0.182670015510336,36.38289199395631,28.610000000000003,-80.59999999375819,40.05151412082437,0,0,0,85,90,107.05614755838121,58.89701705316345,0.001441813004355,1.358933106576575e-5,9.792177282406401,NaN,29.765956990743934,NaN,45.057,42.98049306353844,0.001581442004944,0.808476895621736,0.618008871075565,0.070459022875461,0.12000900167071,0.655612537018733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.821988314679437,90,14.999957569939909,1013.2492344100006,0.001224998718146,340.3888742873836,0.008321275193552,8.145713056470678e4,2.5,4.908738521234052,0.002,0.0100832,0
0.012,0.011367675836623,0.011367675836623,2.848359347639542,2.860007612395019,437.815858171989,439.5322749657946,0.001048241477369,0,0.001048241477369,90,0.257861531973845,38.8058638575628,28.610000000000003,-80.59999998924778,31.360410456513137,0,0,0,85,90,107.01080644587563,58.85167594065786,0.001441535384385,1.35860663017504e-5,9.792177267528396,NaN,29.762764772097523,NaN,48.08166666666666,45.88519793428978,0.003112571171463,0.772301771459829,0.583293508770345,0.068994226057208,0.120014036632276,0.82751088356904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.839093724403159,90,14.999926110107083,1013.2486667621271,0.001224998165615,340.3888552227249,0.010391058388458,1.017182372143161e5,2.5,4.908738521234052,0.002,0.0108471,0
0.014,0.017958920677031,0.017958920677031,3.752334509647207,3.767516187227455,466.1629087835265,467.9809833670307,0.001643182870671,0,0.001643182870671,90,0.337881560212385,41.21096052817274,28.610000000000003,-80.59999998314524,25.315858446653973,0,0,0,85,90,106.96546533337003,58.806334828152266,0.001441257546136,1.358280153756218e-5,9.792177247267013,NaN,29.759569847180543,NaN,51.10633333333333,48.792365365342754,0.005111330106036,0.741473759277725,0.553627459837922,0.067825100371929,0.120021199067875,0.899776909656171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.856199134126882,90,14.999883267015605,1013.2478937195651,0.001224997413158,340.3888292598115,0.012769876776335,1.250044570065774e5,2.5,4.908738521234052,0.002,0.0116407,0
0.016,0.026414824427104,0.026414824427104,4.713025528346932,4.731942286406889,494.56037532572725,496.44951561484845,0.0024029612109,0,0.0024029612109,90,0.422691579092574,43.268426270127236,28.610000000000003,-80.59999997535189,20.97347790182879,0,0,0,85,90,106.92012422086444,58.76099371564668,0.00144097948933,1.357953677320087e-5,9.792177221273697,NaN,29.756372212550108,NaN,54.131,51.7019984961614,0.00755939423589,0.71551204232402,0.528580412180953,0.066900792863157,0.12003083727991,0.914806072645257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.873304543850605,90,14.999828303641209,1013.2469019837616,0.001224996447831,340.3887959520066,0.015401618274129,1.507664912678536e5,2.5,4.908738521234052,0.002,0.0124536,0
0.018,0.036831876307394,0.036831876307394,5.704966382196702,5.727670238353412,497.38046611746415,499.2803786952673,0.003335045706694,0,0.003335045706694,90,0.509475158692654,43.51515224451806,28.610000000000003,-80.59999996579116,17.814832749090947,0,0,0,85,90,106.86871982937073,58.70958932415296,0.00144066398444,1.357583542522781e-5,9.792177189251843,NaN,29.752743689660633,NaN,54.410333333333334,51.9937948249853,0.010383148290485,0.694006493257069,0.507783395936109,0.06618011787942,0.12004297944154,0.901543987515608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.890409953574328,90,14.999760592804023,1013.2456802381479,0.001224995258619,340.3887549192392,0.018182714009931,1.779904854212862e5,2.5,4.908738521234052,0.002,0.0132322,0
0.02,0.049238450092358,0.049238450092358,6.702547542914954,6.72906061457878,500.20088659389614,502.11157271972314,0.004441190814984,0,0.004441190814984,90,0.596752201202534,43.761907062582246,28.610000000000003,-80.59999995444498,15.487156956175534,0,0,0,85,90,106.817315437877,58.65818493265923,0.001440348197868,1.357213407703167e-5,9.792177151114231,NaN,29.749111674415822,NaN,54.68966666666667,52.285872034301825,0.013462590027111,0.676278037704826,0.490601278987427,0.065619317338876,0.120057441378523,0.87462729474786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.907515363298051,90,14.99967995007438,1013.2442251549558,0.001224993842282,340.38870604974505,0.021020389098949,2.057682492305085e5,2.5,4.908738521234052,0.002,0.0139862,0
0.022,0.06364582779174,0.06364582779174,7.705770643900413,7.736114835492083,503.02234893453414,504.94381258813706,0.005722383583724,0,0.005722383583724,90,0.684522849526085,44.00875303195339,28.610000000000003,-80.5999999413033,13.70589813340619,0,0,0,85,90,106.7659110463833,58.60678054116552,0.001440032129207,1.356843272861211e-5,9.792177106826177,NaN,29.745476161771293,NaN,54.969,52.578230530502914,0.016721443543048,0.661349936433499,0.476103071457394,0.065172603626657,0.120074261349447,0.840293332879902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.924620773021774,90,14.999586302119326,1013.2425354109945,0.001224992197532,340.3886492990843,0.023900651656297,2.339628001128559e5,2.5,4.908738521234052,0.002,0.0163504,0
0.024,0.08006529508012,0.08006529508012,8.714637329454515,8.74883443173165,505.8444039063529,507.7766473514866,0.0071796113815,0,0.0071796113815,90,0.772787247521042,44.2556508498345,28.610000000000003,-80.59999992635595,12.301235566471634,0,0,0,85,90,106.71450665488958,58.555376149671794,0.001439715778051,1.356473137996882e-5,9.79217705635299,NaN,29.74183714667295,NaN,55.248333333333335,52.87087072076733,0.020207992926399,0.648552661378294,0.463649153700209,0.064810029833516,0.120093477844569,0.806743191108472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.941726182745497,90,14.999479575581972,1013.2406096826436,0.001224990323079,340.3885846228027,0.02681530053598,2.624938408770905e5,2.5,4.908738521234052,0.002,0.0179569,0
0.026,0.098508140071819,0.098508140071819,9.729148437268853,9.767220173041167,508.66672903265663,510.6097533012673,0.008813861790348,0,0.008813861790348,90,0.861545468475923,44.50257230317045,28.610000000000003,-80.59999990959281,11.166313836036801,0,0,0,85,90,106.66310226339584,58.503971758178075,0.001439399143991,1.356103003110147e-5,9.792176999659977,NaN,29.738194624056973,NaN,55.52766666666667,53.16379301306262,0.023956857673897,0.637416541234049,0.452790018205742,0.064511393460437,0.12011512956787,0.776541601866888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95883159246922,90,14.999359697089517,1013.2384466459964,0.001224988217636,340.38851197643623,0.029759234878222,2.913114228195571e5,2.5,4.908738521234052,0.002,0.0202436,0
0.028,0.11898565199877,0.11898565199877,10.74930428522312,10.791272333639327,511.4891157171892,513.4429210444193,0.010626122490081,0,0.010626122490081,90,0.950797540201598,44.74949914215357,28.610000000000003,-80.59999989100376,10.230836422830057,0,0,0,85,90,106.61169787190214,58.45256736668436,0.001439082226617,1.355732868200975e-5,9.792176936712428,NaN,29.73454858884973,NaN,55.807,53.45699781614701,0.027990403358365,0.627603525581485,0.443201629625165,0.064262640521258,0.120139255435062,0.750101072105103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.975937002192942,90,14.999226593261994,1013.2360449770152,0.001224985879912,340.38843131551675,0.032729125474478,3.203829396844583e5,2.5,4.908738521234052,0.002,0.0214913,0
0.03,0.141509120360095,0.141509120360095,11.775104844039564,11.820990854431665,514.3114195954468,516.2760056649897,0.012617381183889,0,0.012617381183889,90,1.040543460136594,44.99641873652635,28.610000000000003,-80.59999987057866,9.446793269003257,0,0,0,85,90,106.5602934804084,58.401162975190644,0.001438765025519,1.355362733269332e-5,9.792176867475641,NaN,29.730899035967848,NaN,56.08633333333333,53.75048553957121,0.032324081798404,0.618864263628027,0.434644651939015,0.064053717116668,0.120165894572344,0.727139842125622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.993042411916665,90,14.999080190717677,1013.233403351631,0.001224983308618,340.3883425955749,0.035722711192604,3.496862403522138e5,2.5,4.908738521234052,0.002,0.0224016,0
0.032,0.166089832465887,0.166089832465887,12.806546756283993,12.856372344714618,517.12990327599,519.1052554953112,0.014788625383448,0,0.014788625383448,90,1.130782934543483,45.24300410690672,28.610000000000003,-80.59999984830736,8.780340947444362,0,0,0,85,90,106.5088890889147,58.349758583696925,0.001438447540287,1.354992598315186e-5,9.792176791914919,NaN,29.727245960318122,NaN,56.36566666666667,54.04425659368038,0.037357466133552,0.617427118948843,0.433354781361011,0.063877251362926,0.120195086224905,0.714621322342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.010147821640388,90,14.998920416088993,1013.2305204460313,0.001224980502465,340.38824577214996,0.038738395275239,3.792056769948272e5,2.5,4.908738521234052,0.002,0.0233684,0
0.034,0.192739063820301,0.192739063820301,13.843623520244861,13.897410263409231,519.946669704262,521.9327815137368,0.017140841567547,0,0.017140841567547,90,1.221515394596209,45.489439237180925,28.610000000000003,-80.59999982417978,8.206967168348827,0,0,0,85,90,106.45748469742097,58.298354192203206,0.001438129770509,1.354622463338505e-5,9.792176709995607,NaN,29.723589356797497,NaN,56.645,54.338311389615775,0.042865235545726,0.617298773881099,0.433344184746837,0.063727719410559,0.120226869723703,0.70510725373748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.027253231364111,90,14.998747196085162,1013.2273949377887,0.001224977460165,340.3881408008276,0.041775013115413,4.08929831825752e5,2.5,4.908738521234052,0.002,0.0244084,0
